asset_id,asset_name,display_name,asset_type,domain_id,description,business_definition,data_steward,business_owner
BDO-LOC-008,Location Longitude,Longitude,Business Attribute,DOM-BUSINESS-003,Geographic longitude coordinate,The longitude coordinate for precise geographic positioning of the site,Data Steward Team,Operations Department
BDO-IB-001,Install Base,Install Base,Business Data Object,DOM-BUSINESS-002,Machine installation information,Install base represents the deployment of a specific machine at a customer location with installation details,Data Steward Team,Operations Department
BDO-IB-002,Installed Machine,Machine Number,Business Attribute,DOM-BUSINESS-002,Machine that is installed,The specific machine unit that has been deployed at a location,Data Steward Team,Operations Department
BDO-IB-003,Installation Location,Location ID,Business Attribute,DOM-BUSINESS-002,Location where machine is installed,The physical site where the machine has been deployed,Data Steward Team,Operations Department
BDO-IB-004,Installation Date,Installation Date,Business Attribute,DOM-BUSINESS-002,Date when machine was installed,The date when the machine was commissioned and became operational at the location,Data Steward Team,Operations Department
BDO-STATE-001,Machine State,State,Business Data Object,DOM-BUSINESS-004,Machine operational state information,A state represents the operational status of a machine during a specific time period (productive idle etc),Data Steward Team,Operations Department
BDO-STATE-002,State Identifier,State ID,Business Attribute,DOM-BUSINESS-004,Unique identifier for each state record,The unique code assigned to identify each state transition record,Data Steward Team,Operations Department
BDO-STATE-003,State Machine,Machine Number,Business Attribute,DOM-BUSINESS-004,Machine in this state,The machine that is experiencing this operational state,Data Steward Team,Operations Department
BDO-STATE-004,State Code,State Code,Business Attribute,DOM-BUSINESS-004,Code representing the state type,The standardized code identifying the type of operational state (1-P for Productive 3-Idle for Idle),Data Steward Team,Operations Department
BDO-STATE-005,State Description,State Description,Business Attribute,DOM-BUSINESS-004,Human-readable state description,The descriptive label for the operational state,Data Steward Team,Operations Department
BDO-STATE-006,State Start,Start Time,Business Attribute,DOM-BUSINESS-004,When the state began,The timestamp when the machine entered this operational state,Data Steward Team,Operations Department
BDO-STATE-007,State End,End Time,Business Attribute,DOM-BUSINESS-004,When the state ended,The timestamp when the machine exited this operational state,Data Steward Team,Operations Department
BDO-EVENT-001,Event Log,Event Log,Business Data Object,DOM-BUSINESS-004,Machine event log information,An event log captures specific operational events that occur during machine operation,Data Steward Team,Operations Department
BDO-EVENT-002,Event Identifier,Event ID,Business Attribute,DOM-BUSINESS-004,Unique identifier for each event,The unique code assigned to identify each event record,Data Steward Team,Operations Department
BDO-EVENT-003,Event Machine,Machine Number,Business Attribute,DOM-BUSINESS-004,Machine that generated the event,The machine on which the event occurred,Data Steward Team,Operations Department
BDO-EVENT-004,Event Time,Event Time,Business Attribute,DOM-BUSINESS-004,When the event occurred,The timestamp when the event was recorded,Data Steward Team,Operations Department
BDO-EVENT-005,Event Type,Event Type,Business Attribute,DOM-BUSINESS-004,Type or category of event,The classification of the event (lot_started lot_completed etc),Data Steward Team,Operations Department
BDO-EVENT-006,Event Metric,Metric Value,Business Attribute,DOM-BUSINESS-004,Measured value associated with event,The numeric measurement or metric captured during the event,Data Steward Team,Operations Department
